date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:02:54	98395/98395	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:52%20GMT	https://daddylive.fun/cricket/cricket-9.php	F:/sports/dady/daddylive.fun/cricket/cricket-9.html	(from https://daddylive.fun/)
20:02:54	98398/98398	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:52%20GMT	https://daddylive.fun/cricket/cricket-10.php	F:/sports/dady/daddylive.fun/cricket/cricket-10.html	(from https://daddylive.fun/)
20:02:55	46246/46246	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:53%20GMT	https://daddylive.fun/stream/stream-52.php	F:/sports/dady/daddylive.fun/stream/stream-52.html	(from https://daddylive.fun/)
20:02:55	46270/46270	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:53%20GMT	https://daddylive.fun/stream/stream-360.php	F:/sports/dady/daddylive.fun/stream/stream-360.html	(from https://daddylive.fun/)
20:02:55	46271/46271	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:54%20GMT	https://daddylive.fun/stream/stream-313.php	F:/sports/dady/daddylive.fun/stream/stream-313.html	(from https://daddylive.fun/)
20:02:56	46271/46271	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:54%20GMT	https://daddylive.fun/stream/stream-322.php	F:/sports/dady/daddylive.fun/stream/stream-322.html	(from https://daddylive.fun/)
20:02:56	46271/46271	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:54%20GMT	https://daddylive.fun/stream/stream-376.php	F:/sports/dady/daddylive.fun/stream/stream-376.html	(from https://daddylive.fun/)
20:02:57	46271/46271	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:55%20GMT	https://daddylive.fun/stream/stream-153.php	F:/sports/dady/daddylive.fun/stream/stream-153.html	(from https://daddylive.fun/)
20:02:57	46271/46271	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:55%20GMT	https://daddylive.fun/stream/stream-154.php	F:/sports/dady/daddylive.fun/stream/stream-154.html	(from https://daddylive.fun/)
20:02:57	46271/46271	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:55%20GMT	https://daddylive.fun/stream/stream-155.php	F:/sports/dady/daddylive.fun/stream/stream-155.html	(from https://daddylive.fun/)
20:02:57	46271/46271	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:55%20GMT	https://daddylive.fun/stream/stream-156.php	F:/sports/dady/daddylive.fun/stream/stream-156.html	(from https://daddylive.fun/)
20:02:57	46270/46270	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:56%20GMT	https://daddylive.fun/stream/stream-157.php	F:/sports/dady/daddylive.fun/stream/stream-157.html	(from https://daddylive.fun/)
20:02:58	45829/45829	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:56%20GMT	https://daddylive.fun/stream/stream-158.php	F:/sports/dady/daddylive.fun/stream/stream-158.html	(from https://daddylive.fun/)
20:02:58	46271/46271	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:56%20GMT	https://daddylive.fun/stream/stream-159.php	F:/sports/dady/daddylive.fun/stream/stream-159.html	(from https://daddylive.fun/)
20:02:58	45829/45829	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:57%20GMT	https://daddylive.fun/stream/stream-160.php	F:/sports/dady/daddylive.fun/stream/stream-160.html	(from https://daddylive.fun/)
20:02:59	46270/46270	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:57%20GMT	https://daddylive.fun/stream/stream-161.php	F:/sports/dady/daddylive.fun/stream/stream-161.html	(from https://daddylive.fun/)
20:02:59	45829/45829	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:57%20GMT	https://daddylive.fun/stream/stream-162.php	F:/sports/dady/daddylive.fun/stream/stream-162.html	(from https://daddylive.fun/)
