date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:04:04	81832/81832	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2021:34:03%20GMT	https://www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/?replytocom=171107	D:/movies/uwacthfree/www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/index965b.html	(from https://www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/)
03:04:04	81828/81828	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2021:34:04%20GMT	https://www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/?replytocom=171070	D:/movies/uwacthfree/www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/index4e30.html	(from https://www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/)
03:04:05	2757/2757	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2021:34:04%20GMT	https://www.uwatchfree.fo/fembed.php?fid=j-2kradzw32y-nd	D:/movies/uwacthfree/www.uwatchfree.fo/fembedfcc4.html	(from https://www.uwatchfree.fo/2022/01/bhaukaal-2022-season-2-complete-csqcg/)
03:04:05	81834/81834	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2021:34:04%20GMT	https://www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/?replytocom=171017	D:/movies/uwacthfree/www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/indexd6f4.html	(from https://www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/)
03:04:05	81826/81826	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2021:34:05%20GMT	https://www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/?replytocom=170992	D:/movies/uwacthfree/www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/index92f6.html	(from https://www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/)
03:04:06	81835/81835	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2021:34:05%20GMT	https://www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/?replytocom=170958	D:/movies/uwacthfree/www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/indexd907.html	(from https://www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/)
03:04:06	81831/81831	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2021:34:05%20GMT	https://www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/?replytocom=170897	D:/movies/uwacthfree/www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/index1402.html	(from https://www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/)
03:04:06	4952/4952	---M-Z	200	added ('OK')	application/json	date:Thu,%2027%20Jan%202022%2021:34:06%20GMT	https://www.uwatchfree.fo/wp-json/wp/v2/posts/215116	D:/movies/uwacthfree/www.uwatchfree.fo/wp-json/wp/v2/posts/215116.json	(from https://www.uwatchfree.fo/2022/01/on-my-block-2021-season-4-complete/)
03:04:07	2749/2749	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2021:34:06%20GMT	https://www.uwatchfree.fo/netutv.php?vid=gjpzSz3fjjLK	D:/movies/uwacthfree/www.uwatchfree.fo/netutv807e.html	(from https://www.uwatchfree.fo/2022/01/on-my-block-2021-season-4-complete/)
03:04:08	81837/81837	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2021:34:07%20GMT	https://www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/?replytocom=170856	D:/movies/uwacthfree/www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/index28a1.html	(from https://www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/)
03:04:08	81829/81829	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2021:34:07%20GMT	https://www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/?replytocom=170859	D:/movies/uwacthfree/www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/indexad63.html	(from https://www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/)
03:04:08	81826/81826	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2021:34:07%20GMT	https://www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/?replytocom=170850	D:/movies/uwacthfree/www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/index2045.html	(from https://www.uwatchfree.fo/2021/11/shang-chi-and-the-legend-of-the-ten-rings-2021-full-movie-tlq6j/)
